num_particles,inertia,cognition,social,gen,epoch_stop,solution_found,fitness
40, 0.5, 2.6, 0.8, 3, 110, [1. 3.], 1.643699208381915e-20
40, 0.5, 2.6, 0.8, 4, 117, [1. 3.], 2.4195484047795094e-20
40, 0.5, 2.6, 0.8, 5, 110, [1. 3.], 2.4326549133056038e-21
40, 0.5, 2.6, 0.8, 6, 106, [1. 3.], 1.6296940396971815e-17
40, 0.5, 2.6, 0.8, 7, 115, [1. 3.], 1.4970797313221186e-21
40, 0.5, 2.6, 0.8, 8, 102, [1. 3.], 4.9376206339465226e-17
40, 0.5, 2.6, 0.8, 9, 110, [1. 3.], 4.6898676539810215e-19
40, 0.5, 2.6, 0.8, 10, 98, [1.         3.00000001], 1.4905470305874453e-16
40, 0.5, 2.6, 0.8, 11, 104, [1. 3.], 6.566919557001934e-18
40, 0.5, 2.6, 0.8, 12, 110, [1. 3.], 3.5277716021866426e-19
40, 0.5, 2.6, 0.8, 13, 107, [1. 3.], 5.762985583168357e-19
40, 0.5, 2.6, 0.8, 14, 108, [1. 3.], 8.887244503636625e-19
40, 0.5, 2.6, 0.8, 15, 108, [1. 3.], 7.57253285972075e-18
40, 0.5, 2.6, 0.8, 16, 125, [1. 3.], 2.448757568087864e-21
40, 0.5, 2.6, 0.8, 17, 103, [1. 3.], 1.4214476251702037e-19
40, 0.5, 2.6, 0.8, 18, 101, [1. 3.], 1.6763331628108025e-17
40, 0.5, 2.6, 0.8, 19, 138, [1. 3.], 1.1601806520938914e-23
40, 0.5, 2.6, 0.9, 0, 109, [1. 3.], 1.590749134529455e-17
40, 0.5, 2.6, 0.9, 1, 112, [1. 3.], 1.1819411852289947e-19
40, 0.5, 2.6, 0.9, 2, 113, [1. 3.], 4.348647889732006e-19
40, 0.5, 2.6, 0.9, 3, 120, [1. 3.], 3.610344845161603e-22
40, 0.5, 2.6, 0.9, 4, 114, [1. 3.], 3.041610791392214e-18
40, 0.5, 2.6, 0.9, 5, 111, [1. 3.], 2.6057188624809536e-19
40, 0.5, 2.6, 0.9, 6, 109, [1. 3.], 9.80916463064133e-19
40, 0.5, 2.6, 0.9, 7, 115, [1. 3.], 5.040950003770366e-20
40, 0.5, 2.6, 0.9, 8, 97, [1. 3.], 2.540909433224415e-17
40, 0.5, 2.6, 0.9, 9, 122, [1. 3.], 9.571378581381597e-20
40, 0.5, 2.6, 0.9, 10, 106, [1. 3.], 4.01136473833759e-18
